O,este procedimento explica porque cabine demorou minutos responder chamadas torre control isso
P,cara estudante malásia estou tentar reservar meus voos para inicio proximo lectivo fazem codeshare emirates voos lisboadubai dubaikuala lumpur existe alguma tarifa especial para estudantes necessitem utilizar estas rotas agradeço vossa atenção obrigado daniel
O,obrigado
P,terei cancelar adiar três reservas feitas para portopt qual política empresa quanto cancelamento multa qual seria valor reserva caso reagendamento desta para como enviar informações respeito duas situações para possamos avaliar melhor solução grato
P,nenhum lugar site informações respeito valor multa para cancelamento para reagendamento taxas incidem sobre multas cancelamento reagendamento algum tipo cobrança extra multa taxas para cancelamento reagendamento reserva caso reserva tenha sido feita meio agências turismo
P,nenhum lugar site informações respeito valor multa para cancelamento para reagendamento taxas incidem sobre multas cancelamento reagendamento algum tipo cobrança extra multa taxas para cancelamento reagendamento reserva caso reserva tenha sido feita meio agências turismo preciso cancelar reagendar minhas três reservas embarque seria qual seria valor multa taxas caso cancelamento caso reagendamento três para grato
P,reserva para código pretendemos transferir para final mês dezembro quando estará mais tranquila situação casa nossos parentes pesquisei site encontramos data mais adequada para transferência até retorno
P,problema agencia questão está praticando preços abusivos não foram informados momento aquisição passagens encontro reza código defesa consumidor pelo telefone informa multa cancelamento seria dólares porém agência quer cobrar absurdos dólares passagem preciso informação detalhadas respeito multas cancelamento taxas todos encargos para para reagendamento obrigação empresa informar para consumidor caso contrário buscarei meus direitos justiça acionarei empresa pela omissão informações grato
R,isso quer dizer recusa fornecer informações respeito taxas multas praticadas pela empresa casos cancelamento reagendamento reservas vale reitera essas informações fornecidas momento contratação serviço não até momento embarque como informou comentário anterior sintome lesado pela empresa turismo desamparado pela
P,tarde angolano gostaria localizar esta agência aqui angola província luanda ajudem favor
P,olá tenho duas dúvidas sobre vôo alguma tarifa extra para reservar assentos saída emergência quais são fileiras saída emergência nesses vôos
P,obrigado vocês sabem fileira saída emergência
O,obrigado
R,agradeço contacto urgente tenho minha mãe numa cadeira rodas desde horas quando suposto partido caminho lisboa horas não havendo balcão dirigiuse balcão sata qual informou nada poder fazer verdadeiramente lamentar esta triste situação não todos restantes passageiros principal encontram situação como minha mãe agradeço contacto urgente para
R,vergonhoso vosso serviço
P,trade tostav esclarecesse resposta tardia dada caça francês dada situaçao vivia franca gravacoes ouvi reportagem pareceramme preocupantes desligadas situacao concreto
O,muito obrigado pelo vosso esclarecimento cumprimentos
P,tive minha mala extraviada pela companhia não recebi nenhum posicionamento até momento estou mais dias minha bagagem resposta como ficaremos
O,inbox
